date,1. open,2. high,3. low,4. close,5. volume,Ticker
2021-03-02,35.65,35.94,35.5,35.53,41055988.0,BAC
2021-03-01,35.52,36.05,35.24,35.79,45901659.0,BAC
2021-02-26,35.73,36.035,34.68,34.71,70677863.0,BAC
2021-02-25,36.96,37.03,35.76,35.93,74507409.0,BAC
2021-02-24,35.74,36.52,35.6,36.38,58139468.0,BAC
2021-02-23,35.42,35.89,35.14,35.52,67440696.0,BAC
2021-02-22,34.45,35.25,34.41,35.15,56588551.0,BAC
2021-02-19,34.2,34.725,34.18,34.54,54514131.0,BAC
2021-02-18,34.06,34.65,34.0201,34.19,37541679.0,BAC
2021-02-17,34.04,34.56,33.79,34.41,45382971.0,BAC
2021-02-16,33.98,34.56,33.702,34.27,52802553.0,BAC
2021-02-12,33.0,33.45,32.91,33.37,37468264.0,BAC
2021-02-11,32.97,33.31,32.55,32.88,29479877.0,BAC
2021-02-10,33.12,33.42,32.86,32.98,44818705.0,BAC
2021-02-09,32.97,33.02,32.585,32.95,35786387.0,BAC
2021-02-08,32.43,33.28,32.4,33.09,46014138.0,BAC
2021-02-05,32.89,32.905,32.32,32.37,42008834.0,BAC
2021-02-04,31.8,32.531,31.78,32.5,51751926.0,BAC
2021-02-03,30.91,31.73,30.88,31.58,49404895.0,BAC
2021-02-02,30.58,31.2,30.54,31.03,52233871.0,BAC
2021-02-01,29.87,30.04,29.57,29.96,40985251.0,BAC
2021-01-29,30.4,30.5,29.59,29.65,64019079.0,BAC
2021-01-28,30.42,30.75,29.9174,30.32,51223276.0,BAC
2021-01-27,30.31,30.43,29.67,29.83,63809175.0,BAC
2021-01-26,31.4,31.43,30.91,30.94,36373036.0,BAC
2021-01-25,31.27,31.3,30.57,31.16,48078412.0,BAC
2021-01-22,31.36,31.75,31.25,31.55,45314482.0,BAC
2021-01-21,32.34,32.48,31.73,31.77,49675883.0,BAC
2021-01-20,32.76,32.79,32.155,32.34,53920025.0,BAC
2021-01-19,32.5,33.6,32.2,32.77,78130237.0,BAC
2021-01-15,33.29,33.63,32.7,33.01,57684295.0,BAC
2021-01-14,33.48,34.37,33.42,33.99,48483461.0,BAC
2021-01-13,33.43,33.68,33.09,33.46,43172781.0,BAC
2021-01-12,33.42,33.97,33.2,33.66,67870790.0,BAC
2021-01-11,32.09,33.13,31.9,33.07,51899630.0,BAC
2021-01-08,32.92,33.0,32.1131,32.53,44641359.0,BAC
2021-01-07,33.31,33.62,32.84,32.86,74358467.0,BAC
2021-01-06,31.9,32.62,31.355,32.15,107002801.0,BAC
2021-01-05,30.17,30.54,29.91,30.26,48507015.0,BAC
2021-01-04,30.46,30.57,29.75,30.03,51483911.0,BAC
2020-12-31,30.01,30.39,29.9,30.31,28716038.0,BAC
2020-12-30,30.0,30.22,29.94,29.98,26370147.0,BAC
2020-12-29,30.17,30.25,29.93,30.01,33291878.0,BAC
2020-12-28,30.23,30.545,29.985,30.13,32565257.0,BAC
2020-12-24,30.27,30.27,29.74,29.96,22632273.0,BAC
2020-12-23,29.39,30.35,29.331,30.05,52537153.0,BAC
2020-12-22,29.78,29.78,29.17,29.21,39140378.0,BAC
2020-12-21,29.1,29.99,28.73,29.74,93397351.0,BAC
2020-12-18,28.89,29.1,28.565,28.67,82817175.0,BAC
2020-12-17,28.71,28.92,28.53,28.83,43182677.0,BAC
2020-12-16,28.8,28.82,28.44,28.72,42463172.0,BAC
2020-12-15,28.35,28.82,28.2474,28.64,43717804.0,BAC
2020-12-14,28.92,28.96,28.14,28.22,40267070.0,BAC
2020-12-11,28.68,28.745,28.3012,28.57,40538421.0,BAC
2020-12-10,28.63,29.13,28.47,29.11,58859564.0,BAC
2020-12-09,29.25,29.25,28.75,28.8,54886294.0,BAC
2020-12-08,28.86,29.15,28.7701,28.93,33869091.0,BAC
2020-12-07,28.9,29.15,28.685,29.09,42197775.0,BAC
2020-12-04,29.2,29.425,29.0,29.29,66188152.0,BAC
2020-12-03,28.94,29.1,28.63,28.91,54013737.0,BAC
2020-12-02,28.69,29.18,28.5325,29.06,45257516.0,BAC
2020-12-01,28.74,29.04,28.67,28.69,49084629.0,BAC
2020-11-30,28.72,28.86,28.1,28.16,63567899.0,BAC
2020-11-27,28.97,29.1,28.811,28.99,25971555.0,BAC
2020-11-25,28.71,29.04,28.4801,29.03,57249944.0,BAC
2020-11-24,27.93,28.99,27.92,28.98,79535106.0,BAC
2020-11-23,27.11,27.52,27.06,27.39,45421204.0,BAC
2020-11-20,26.74,26.9459,26.63,26.81,40537950.0,BAC
2020-11-19,26.93,27.01,26.65,26.98,46422959.0,BAC
2020-11-18,27.63,27.93,26.96,26.98,54416692.0,BAC
2020-11-17,27.25,27.6,27.01,27.55,46402309.0,BAC
2020-11-16,27.86,28.0,27.18,27.58,57396669.0,BAC
2020-11-13,26.88,27.21,26.755,27.0,52453266.0,BAC
2020-11-12,26.84,26.9,26.31,26.69,67956935.0,BAC
2020-11-11,27.75,27.77,27.12,27.34,48360931.0,BAC
2020-11-10,27.485,27.76,27.18,27.66,77694587.0,BAC
2020-11-09,26.6003,28.27,26.3,27.76,178378809.0,BAC
2020-11-06,24.93,24.96,24.23,24.31,55454491.0,BAC
2020-11-05,23.9,24.7879,23.855,24.61,74722613.0,BAC
2020-11-04,23.89,24.14,23.265,23.68,88845454.0,BAC
2020-11-03,24.58,24.94,24.51,24.69,65106150.0,BAC
2020-11-02,23.89,24.26,23.47,24.08,59756372.0,BAC
2020-10-30,23.49,23.84,23.24,23.7,66499910.0,BAC
2020-10-29,23.36,23.75,23.12,23.54,57490448.0,BAC
2020-10-28,23.41,23.66,23.12,23.47,81942517.0,BAC
2020-10-27,24.29,24.39,23.81,23.85,55009290.0,BAC
2020-10-26,24.47,24.58,24.15,24.54,59450201.0,BAC
2020-10-23,25.24,25.26,24.71,24.9,51007411.0,BAC
2020-10-22,24.05,24.91,24.0,24.87,55401973.0,BAC
2020-10-21,24.22,24.34,24.01,24.05,41564912.0,BAC
2020-10-20,23.89,24.48,23.88,24.14,62476424.0,BAC
2020-10-19,24.3,24.32,23.69,23.72,51377925.0,BAC
2020-10-16,24.2,24.35,23.94,24.24,58357722.0,BAC
2020-10-15,23.59,24.2,23.48,24.15,66832398.0,BAC
2020-10-14,24.35,24.59,23.59,23.62,127563386.0,BAC
2020-10-13,25.64,25.68,24.84,24.95,61186942.0,BAC
2020-10-12,25.3,25.83,25.24,25.68,48362917.0,BAC
2020-10-09,25.34,25.49,25.04,25.36,44511466.0,BAC
2020-10-08,24.95,25.3,24.81,25.24,52080647.0,BAC
2020-10-07,24.63,25.11,24.6,24.88,47647962.0,BAC
